GISPROD3OSMPTrailsOSMPOBJECTID,GISPROD3OSMPTrailsOSMPOWNER,GISPROD3OSMPTrailsOSMPBICYCLES,GISPROD3OSMPTrailsOSMPDISPLAY,GISPROD3OSMPTrailsOSMPTRAILTYPE,GISPROD3OSMPTrailsOSMPDATEFROM,GISPROD3OSMPTrailsOSMPDATETO,GISPROD3OSMPTrailsOSMPSEGMENTID,GISPROD3OSMPTrailsOSMPHORSES,GISPROD3OSMPTrailsOSMPRID,GISPROD3OSMPTrailsOSMPTRLID,GISPROD3OSMPTrailsOSMPMILEAGE,GISPROD3OSMPTrailsOSMPMEASUREDFEET,GISPROD3OSMPTrailsOSMPTRAILNAME,GISPROD3OSMPTrailsOSMPGlobalID,GISPROD3OSMPTrailsOSMPDIFFICULTY,GISPROD3OSMPTrailsOSMPDOGS,GISPROD3OSMPTrailsOSMPDOGREGGEN,GISPROD3OSMPTrailsOSMPDOGREGDESC,GISPROD3OSMPTrailClosuresOBJECTID,GISPROD3OSMPTrailClosuresRID,GISPROD3OSMPTrailClosuresCLOSUREDURATION,GISPROD3OSMPTrailClosuresWEBLINK,GISPROD3OSMPTrailClosuresCLOSUREAREA,GISPROD3OSMPTrailClosuresTRAILSTATUS,GISPROD3OSMPTrailClosuresCLOSUREREASON,GISPROD3OSMPTrailClosuresLOCATIONDESCRIPTION,GISPROD3OSMPTrailClosuresCONTACT,GISPROD3OSMPTrailClosuresCOMMENTS,GISPROD3OSMPTrailClosuresGLOBALID,GISPROD3OSMPTrailClosuresSEGMENTID
2687,OSMP,No,Yes,Hiking Trail,2015/04/08 00:00:00+00,2099/12/31 00:00:00+00,417-665-662,No,1026,417,0.024,117,Buckingham Park,{71286DCA-CF92-48FB-8CCF-5062CCFD0602},Easy,Yes,LR,Leash Required,1105,1026,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{EB99B401-56E9-43C4-ADD5-5309710FBA3F},417-665-662
2688,OSMP,No,Yes,Hiking Trail,2015/04/08 00:00:00+00,2099/12/31 00:00:00+00,417-664-667,No,1568,417,0.009,51,Buckingham Park,{CCA6838C-539C-47EA-9A4B-22499433BA6C},Easy,Yes,LR,Leash Required,1106,1568,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{BF48A2BA-DFB9-46FD-AE61-C88FB97A2665},417-664-667
2689,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,408-652-675,Yes,1009,408,2.779,14775,Left Hand,{45CB6B7D-5C7C-4C89-9B24-7BA6C6B470FE},Moderate,Yes,LR,Leash Required,1107,1009,Until Further Notice,,Left Hand,Open,Muddy Conditions,,https://bouldercolorado.gov/services/osmp-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{DDAA0047-13A8-4CF4-97F7-679FC0D6238D},408-652-675
2690,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,409-652-650,Yes,1010,409,0.629,3340,Sage,{254634A3-F658-4865-A299-E3EE3CFE4E43},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1108,1010,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{D692776F-587A-43B4-8860-D48DA18DAA63},409-652-650
2691,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,411-650-651,Yes,1011,411,0.241,1246,North Rim,{D31D1C9C-A735-4C19-989F-88B01FDBDA2D},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1109,1011,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{C739CBF1-BFB3-40AA-9358-D1916CB7F3A8},411-650-651
2692,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,409-650-648,Yes,1015,409,0.529,2829,Sage,{6026FB8A-B78C-45BF-A11C-DF3A75D5D020},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1110,1015,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{5125B5CD-BB78-4CB8-B00D-A91C41AEA298},409-650-648
2693,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,410-649-648,Yes,1016,410,0.481,2556,Eagle,{DE121A18-245F-45E7-A5FC-61C4462EB7EE},Easy,Yes,LVS,"Leash, Or Voice and Sight Control",1111,1016,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{E9851627-A632-4F20-84B6-F12FA169E8B8},410-649-648
2694,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,410-648-673,Yes,1017,410,0.94,5032,Eagle,{472FEC66-0ACA-47E2-869D-4F6A336C70BC},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1112,1017,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{B7B62097-CDB5-4C0A-9C2E-E5A7F999CAC9},410-648-673
2695,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,408-675-655,Yes,1620,408,0.146,747,Left Hand,{FAEB77A2-202C-4B6F-8D81-9F009FEEE924},Easy,Yes,LR,Leash Required,1113,1620,Until Further Notice,,Left Hand,Open,Muddy Trail,,https://bouldercolorado.gov/services/osmp-closures,Closed during muddy conditions to prevent damage to trails and surrounding areas ,{06E4388E-6EEA-4B67-9832-EE454B2D379B},408-675-655
2696,OSMP,Yes,Yes,Multi-Use Trail,2005/12/31 00:00:00+00,2099/12/31 00:00:00+00,410-647-673,Yes,1012,410,0.546,2832,Eagle,{2595CE7F-02E7-4AD0-8A82-F9AEF6601CC7},Moderate,Yes,LVS,"Leash, Or Voice and Sight Control",1114,1012,Until Further Notice,,,Open,Hazardous Conditions,,https://bouldercolorado.gov/services/osmp-closures,,{DEEC42ED-CE16-469E-BE27-551CC55C6FB3},410-647-673
